"filename", "language", "JSON", "TypeScript", "SCSS", "Django Template", "XML", "comment", "blank", "total"
"c:\Source\anita\app\src\app\ui\routed-views\projects\components\project-editor\project-editor.component.html", "Django Template", 0, 0, 0, 24, 0, 0, 3, 27
"c:\Source\anita\app\src\app\ui\routed-views\projects\components\project-editor\project-editor.component.ts", "TypeScript", 0, 77, 0, 0, 0, 4, 13, 94
"c:\Source\anita\app\src\app\ui\routed-views\projects\components\project-editor\section-editor\section-editor.component.html", "Django Template", 0, 0, 0, 21, 0, 0, 6, 27
"c:\Source\anita\app\src\app\ui\routed-views\projects\components\project-editor\section-editor\section-editor.component.ts", "TypeScript", 0, 85, 0, 0, 0, 6, 18, 109
"c:\Source\anita\app\src\app\ui\routed-views\projects\components\projects-list\components\project-card\project-card.component.html", "Django Template", 0, 0, 0, 18, 0, 0, 0, 18
"c:\Source\anita\app\src\app\ui\routed-views\projects\components\projects-list\components\project-card\project-card.component.scss", "SCSS", 0, 0, 0, 0, 0, 0, 1, 1
"c:\Source\anita\app\src\app\ui\routed-views\projects\components\projects-list\components\project-card\project-card.component.ts", "TypeScript", 0, 19, 0, 0, 0, 0, 6, 25
"c:\Source\anita\app\src\app\ui\routed-views\projects\components\projects-list\components\project-delete-confirm\project-delete-confirm.component.html", "Django Template", 0, 0, 0, 8, 0, 0, 0, 8
"c:\Source\anita\app\src\app\ui\routed-views\projects\components\projects-list\components\project-delete-confirm\project-delete-confirm.component.ts", "TypeScript", 0, 23, 0, 0, 0, 0, 7, 30
"c:\Source\anita\app\src\app\ui\routed-views\projects\components\projects-list\components\project-select-btn\project-select-btn.component.html", "Django Template", 0, 0, 0, 13, 0, 0, 0, 13
"c:\Source\anita\app\src\app\ui\routed-views\projects\components\projects-list\components\project-select-btn\project-select-btn.component.scss", "SCSS", 0, 0, 0, 0, 0, 0, 1, 1
"c:\Source\anita\app\src\app\ui\routed-views\projects\components\projects-list\components\project-select-btn\project-select-btn.component.ts", "TypeScript", 0, 36, 0, 0, 0, 0, 7, 43
"c:\Source\anita\app\src\app\ui\routed-views\projects\components\projects-list\projects-list.component.html", "Django Template", 0, 0, 0, 27, 0, 0, 2, 29
"c:\Source\anita\app\src\app\ui\routed-views\projects\components\projects-list\projects-list.component.scss", "SCSS", 0, 0, 6, 0, 0, 0, 1, 7
"c:\Source\anita\app\src\app\ui\routed-views\projects\components\projects-list\projects-list.component.ts", "TypeScript", 0, 25, 0, 0, 0, 0, 7, 32
"c:\Source\anita\app\src\app\ui\routed-views\projects\projects-routes.constant.ts", "TypeScript", 0, 13, 0, 0, 0, 0, 2, 15
"c:\Source\anita\app\src\app\ui\routed-views\projects\projects.module.ts", "TypeScript", 0, 61, 0, 0, 0, 0, 2, 63
"c:\Source\anita\app\src\app\ui\routed-views\projects\services\section-form-ele-generator.class.ts", "TypeScript", 0, 36, 0, 0, 0, 22, 9, 67
"c:\Source\anita\app\src\app\ui\routed-views\projects\services\section-generator.class.ts", "TypeScript", 0, 64, 0, 0, 0, 44, 15, 123
"c:\Source\anita\app\src\app\ui\shared-components\add-btn\add-btn.component.html", "Django Template", 0, 0, 0, 3, 0, 0, 0, 3
"c:\Source\anita\app\src\app\ui\shared-components\add-btn\add-btn.component.scss", "SCSS", 0, 0, 4, 0, 0, 0, 0, 4
"c:\Source\anita\app\src\app\ui\shared-components\add-btn\add-btn.component.ts", "TypeScript", 0, 24, 0, 0, 0, 0, 9, 33
"c:\Source\anita\app\src\app\ui\shared-components\add-btn\add-button.module.ts", "TypeScript", 0, 20, 0, 0, 0, 0, 2, 22
"c:\Source\anita\app\src\app\ui\shared-components\admin\@core\layout.service.ts", "TypeScript", 0, 18, 0, 0, 0, 0, 5, 23
"c:\Source\anita\app\src\app\ui\shared-components\admin\@core\state.service.ts", "TypeScript", 0, 78, 0, 0, 0, 1, 16, 95
"c:\Source\anita\app\src\app\ui\shared-components\admin\@theme\components\header\header.component.html", "Django Template", 0, 0, 0, 12, 0, 0, 0, 12
"c:\Source\anita\app\src\app\ui\shared-components\admin\@theme\components\header\header.component.scss", "SCSS", 0, 0, 88, 0, 0, 79, 18, 185
"c:\Source\anita\app\src\app\ui\shared-components\admin\@theme\components\header\header.component.ts", "TypeScript", 0, 38, 0, 0, 0, 0, 12, 50
"c:\Source\anita\app\src\app\ui\shared-components\admin\@theme\layouts\sidebar-layout.component.html", "Django Template", 0, 0, 0, 21, 0, 0, 3, 24
"c:\Source\anita\app\src\app\ui\shared-components\admin\@theme\layouts\sidebar-layout.component.scss", "SCSS", 0, 0, 135, 0, 0, 2, 39, 176
"c:\Source\anita\app\src\app\ui\shared-components\admin\@theme\layouts\sidebar-layout.component.ts", "TypeScript", 0, 53, 0, 0, 0, 0, 7, 60
"c:\Source\anita\app\src\app\ui\shared-components\admin\@theme\pipes\capitalize.pipe.ts", "TypeScript", 0, 9, 0, 0, 0, 0, 3, 12
"c:\Source\anita\app\src\app\ui\shared-components\admin\@theme\pipes\number-with-commas.pipe.ts", "TypeScript", 0, 7, 0, 0, 0, 0, 3, 10
"c:\Source\anita\app\src\app\ui\shared-components\admin\@theme\pipes\plural.pipe.ts", "TypeScript", 0, 12, 0, 0, 0, 0, 3, 15
"c:\Source\anita\app\src\app\ui\shared-components\admin\@theme\pipes\round.pipe.ts", "TypeScript", 0, 7, 0, 0, 0, 0, 3, 10
"c:\Source\anita\app\src\app\ui\shared-components\admin\@theme\pipes\timing.pipe.ts", "TypeScript", 0, 15, 0, 0, 0, 0, 4, 19
"c:\Source\anita\app\src\app\ui\shared-components\admin\@theme\styles\bootstrap-rtl.scss", "SCSS", 0, 0, 183, 0, 0, 0, 11, 194
"c:\Source\anita\app\src\app\ui\shared-components\admin\@theme\styles\font-size.scss", "SCSS", 0, 0, 3, 0, 0, 0, 1, 4
"c:\Source\anita\app\src\app\ui\shared-components\admin\@theme\styles\styles.scss", "SCSS", 0, 0, 15, 0, 0, 6, 8, 29
"c:\Source\anita\app\src\app\ui\shared-components\admin\@theme\styles\themes.scss", "SCSS", 0, 0, 69, 0, 0, 4, 17, 90
"c:\Source\anita\app\src\app\ui\shared-components\admin\@theme\theme.module.ts", "TypeScript", 0, 85, 0, 0, 0, 0, 8, 93
"c:\Source\anita\app\src\app\ui\shared-components\admin\admin-routes.constant.ts", "TypeScript", 0, 14, 0, 0, 0, 0, 5, 19
"c:\Source\anita\app\src\app\ui\shared-components\admin\admin.component.ts", "TypeScript", 0, 43, 0, 0, 0, 0, 10, 53
"c:\Source\anita\app\src\app\ui\shared-components\admin\admin.module.ts", "TypeScript", 0, 21, 0, 0, 0, 0, 2, 23
"c:\Source\anita\app\src\app\ui\shared-components\admin\menu\main-menu-maker.class.ts", "TypeScript", 0, 47, 0, 0, 0, 0, 17, 64
"c:\Source\anita\app\src\app\ui\shared-components\admin\menu\non-project-menu.constant.ts", "TypeScript", 0, 11, 0, 0, 0, 0, 3, 14
"c:\Source\anita\app\src\app\ui\shared-components\alert\alert.component.html", "Django Template", 0, 0, 0, 5, 0, 0, 0, 5
"c:\Source\anita\app\src\app\ui\shared-components\alert\alert.component.ts", "TypeScript", 0, 19, 0, 0, 0, 0, 9, 28
"c:\Source\anita\app\src\app\ui\shared-components\alert\alert.module.ts", "TypeScript", 0, 13, 0, 0, 0, 0, 2, 15
"c:\Source\anita\app\src\app\ui\shared-components\dialog-confirmer\dialog-confirmer.component.html", "Django Template", 0, 0, 0, 10, 0, 0, 0, 10
"c:\Source\anita\app\src\app\ui\shared-components\dialog-confirmer\dialog-confirmer.component.ts", "TypeScript", 0, 17, 0, 0, 0, 0, 5, 22
"c:\Source\anita\app\src\app\ui\shared-components\dialog-confirmer\dialog-confirmer.module.ts", "TypeScript", 0, 15, 0, 0, 0, 0, 2, 17
"c:\Source\anita\app\src\app\ui\shared-components\forms-automator\form-builder\form-builder.d.ts", "TypeScript", 0, 8, 0, 0, 0, 0, 2, 10
"c:\Source\anita\app\src\app\ui\shared-components\forms-automator\form-builder\form-builder.module.ts", "TypeScript", 0, 33, 0, 0, 0, 0, 2, 35
"c:\Source\anita\app\src\app\ui\shared-components\forms-automator\form-builder\form-fields-loaders\form-fields.component.ts", "TypeScript", 0, 44, 0, 0, 0, 0, 14, 58
"c:\Source\anita\app\src\app\ui\shared-components\forms-automator\form-builder\form-fields-loaders\form-fields.directive.ts", "TypeScript", 0, 9, 0, 0, 0, 1, 4, 14
"c:\Source\anita\app\src\app\ui\shared-components\forms-automator\form-builder\form-type-switcher\form-type-switcher.component.html", "Django Template", 0, 0, 0, 4, 0, 0, 0, 4
"c:\Source\anita\app\src\app\ui\shared-components\forms-automator\form-builder\form-type-switcher\form-type-switcher.component.ts", "TypeScript", 0, 15, 0, 0, 0, 0, 6, 21
"c:\Source\anita\app\src\app\ui\shared-components\forms-automator\form-builder\group-forms\group-forms.component.html", "Django Template", 0, 0, 0, 8, 0, 0, 0, 8
"c:\Source\anita\app\src\app\ui\shared-components\forms-automator\form-builder\group-forms\group-forms.component.ts", "TypeScript", 0, 18, 0, 0, 0, 0, 7, 25
"c:\Source\anita\app\src\app\ui\shared-components\forms-automator\form-builder\services\custom-validators.constant.ts", "TypeScript", 0, 13, 0, 0, 0, 0, 3, 16
"c:\Source\anita\app\src\app\ui\shared-components\forms-automator\form-builder\services\form-control-maker.class.ts", "TypeScript", 0, 89, 0, 0, 0, 0, 30, 119
"c:\Source\anita\app\src\app\ui\shared-components\forms-automator\form-builder\services\form-data-parser.service.ts", "TypeScript", 0, 68, 0, 0, 0, 0, 20, 88
"c:\Source\anita\app\src\app\ui\shared-components\forms-automator\form-builder\services\form-model-expander.class.ts", "TypeScript", 0, 44, 0, 0, 0, 0, 13, 57
