"filename", "language", "TypeScript React", "TypeScript", "CSS", "comment", "blank", "total"
"c:\Source\anita\app\src\app\ui-react-components\shared-components\buttons\delete-project.component.tsx", "TypeScript React", 49, 0, 0, 0, 7, 56
"c:\Source\anita\app\src\app\ui-react-components\shared-components\buttons\edit-project-button.component.tsx", "TypeScript React", 9, 0, 0, 0, 1, 10
"c:\Source\anita\app\src\app\ui-react-components\shared-components\common-ui-eles\card-footer-items-end.component.tsx", "TypeScript React", 6, 0, 0, 0, 1, 7
"c:\Source\anita\app\src\app\ui-react-components\shared-components\common-ui-eles\main-content-container.component.tsx", "TypeScript React", 12, 0, 0, 0, 0, 12
"c:\Source\anita\app\src\app\ui-react-components\shared-components\forms-automator\form-automator.component.tsx", "TypeScript React", 19, 0, 0, 0, 5, 24
"c:\Source\anita\app\src\app\ui-react-components\shared-components\forms-automator\form-builder\calc-width.function.ts", "TypeScript", 0, 3, 0, 1, 0, 4
"c:\Source\anita\app\src\app\ui-react-components\shared-components\forms-automator\form-builder\form-eles-switcher.function.tsx", "TypeScript React", 42, 0, 0, 0, 1, 43
"c:\Source\anita\app\src\app\ui-react-components\shared-components\forms-automator\form-builder\prerequisites-checker.class.ts", "TypeScript", 0, 30, 0, 2, 11, 43
"c:\Source\anita\app\src\app\ui-react-components\shared-components\forms-automator\form-fields\basic-checkbox.component.tsx", "TypeScript React", 36, 0, 0, 0, 5, 41
"c:\Source\anita\app\src\app\ui-react-components\shared-components\forms-automator\form-fields\basic-input.component.tsx", "TypeScript React", 43, 0, 0, 0, 5, 48
"c:\Source\anita\app\src\app\ui-react-components\shared-components\forms-automator\form-fields\basic-radio.component.tsx", "TypeScript React", 47, 0, 0, 2, 6, 55
"c:\Source\anita\app\src\app\ui-react-components\shared-components\forms-automator\form-fields\basic-select.component.tsx", "TypeScript React", 45, 0, 0, 0, 5, 50
"c:\Source\anita\app\src\app\ui-react-components\shared-components\forms-automator\form-fields\basic-textarea.component.tsx", "TypeScript React", 37, 0, 0, 0, 5, 42
"c:\Source\anita\app\src\app\ui-react-components\shared-components\forms-automator\form-fields\child-of-selector-for-section.component.tsx", "TypeScript React", 65, 0, 0, 2, 13, 80
"c:\Source\anita\app\src\app\ui-react-components\shared-components\forms-automator\form-fields\date-picker.component.tsx", "TypeScript React", 40, 0, 0, 0, 5, 45
"c:\Source\anita\app\src\app\ui-react-components\shared-components\forms-automator\form-fields\date-time-picker.component.tsx", "TypeScript React", 41, 0, 0, 0, 5, 46
"c:\Source\anita\app\src\app\ui-react-components\shared-components\forms-automator\form-fields\form-fields-model.ts", "TypeScript", 0, 83, 0, 0, 15, 98
"c:\Source\anita\app\src\app\ui-react-components\shared-components\forms-automator\form-fields\hidden-input.component.tsx", "TypeScript React", 9, 0, 0, 0, 2, 11
"c:\Source\anita\app\src\app\ui-react-components\shared-components\forms-automator\form-fields\options-maker.component.tsx", "TypeScript React", 55, 0, 0, 8, 6, 69
"c:\Source\anita\app\src\app\ui-react-components\shared-components\forms-automator\form-fields\parents-selector.component.tsx", "TypeScript React", 59, 0, 0, 2, 13, 74
"c:\Source\anita\app\src\app\ui-react-components\shared-components\forms-automator\form-layout\field-selector.component.tsx", "TypeScript React", 14, 0, 0, 0, 6, 20
"c:\Source\anita\app\src\app\ui-react-components\shared-components\forms-automator\form-layout\fom-elements-css-classes.const.ts", "TypeScript", 0, 2, 0, 0, 0, 2
"c:\Source\anita\app\src\app\ui-react-components\shared-components\forms-automator\form-layout\form-ele-container.component.tsx", "TypeScript React", 6, 0, 0, 0, 1, 7
"c:\Source\anita\app\src\app\ui-react-components\shared-components\forms-automator\form-layout\form-element-label.component.tsx", "TypeScript React", 3, 0, 0, 0, 0, 3
"c:\Source\anita\app\src\app\ui-react-components\shared-components\forms-automator\validators\required-field.component.tsx", "TypeScript React", 19, 0, 0, 0, 7, 26
"c:\Source\anita\app\src\app\ui-react-components\shared-components\forms-automator\validators\validators-container.component.tsx", "TypeScript React", 12, 0, 0, 0, 4, 16
"c:\Source\anita\app\src\app\ui-react-components\shared-components\forms-automator\validators\validators.d.ts", "TypeScript", 0, 1, 0, 0, 1, 2
"c:\Source\anita\app\src\app\ui-react-components\shared-components\loader\loader.component.tsx", "TypeScript React", 6, 0, 0, 0, 1, 7
"c:\Source\anita\app\src\app\version.ts", "TypeScript", 0, 1, 0, 3, 2, 6
"c:\Source\anita\app\src\index.css", "CSS", 0, 0, 16, 3, 3, 22
"c:\Source\anita\app\src\index.tsx", "TypeScript React", 18, 0, 0, 0, 3, 21
"c:\Source\anita\app\src\react-app-env.d.ts", "TypeScript", 0, 0, 0, 1, 1, 2
"c:\Source\anita\app\src\reportWebVitals.ts", "TypeScript", 0, 13, 0, 0, 3, 16
"c:\Source\anita\app\src\service-worker.ts", "TypeScript", 0, 38, 0, 30, 13, 81
"c:\Source\anita\app\src\serviceWorkerRegistration.ts", "TypeScript", 0, 98, 0, 31, 14, 143
"c:\Source\anita\app\src\setupTests.ts", "TypeScript", 0, 1, 0, 4, 1, 6
"Total", "-", 1767, 3149, 16, 1482, 1175, 7589
